,project_Name,category_name,funding_period_start,funding_period_end,no_days,starter_location,currency,money_pledged,goal,no_backers
0,Egg Mood Club Pins & Patches,Illustration,Jun 23 2020,Jul 14 2020,21,"Toronto, Canada",CA$,2995,500,55
1,Rainbow Metal Enamel Pins - Animals and Wanderlust,Illustration,Jun 23 2020,Jul 14 2020,21,"Wiltshire, UK",£,1523,600,84
2,Blossoming Pride d20 Dice Pins,Illustration,Jun 13 2020,Jul 13 2020,30,"Los Angeles, CA",$,2501,1500,124
3,Funky Fusions: An Animal Enamel Pin Kickstarter,Illustration,Jun 12 2020,Jul 12 2020,30,"Columbus, OH",$,2398,400,104
4,Sketchbook Coloring Books by Herb Leonhard,Illustration,Jun 13 2020,Jul 13 2020,30,"Prosser, WA",$,3098,500,51
5,Tufts of Feathers Enamel Pins,Art,Jun 19 2020,Jul 12 2020,22,"Toronto, Canada",CA$,5561,1000,125
6,Toebeans! A Collection of Anime Cat Enamel Pins,Illustration,Jun 28 2020,Jul 11 2020,13,"New York, NY",$,8259,1200,186
7,Yuri Pride Pins,Art,Jun 24 2020,Jul 14 2020,20,"Worthing, UK",£,1942,1700,49
8,Mental Health Awareness Enamel Pins,Illustration,Jun 12 2020,Jul 12 2020,30,"Vancouver, Canada",CA$,3867,700,145
9,Los ángeles: songs of sirens caught in celluloid,Illustration,Jun 10 2020,Jul 10 2020,30,"Hollywood, Los Angeles, CA",€,57669,8000,571
10,Mage Cards Oracle Decks,Art,Jun 24 2020,Jul 9 2020,15,"Lisbon, Portugal",CA$,11428,3000,94
11,An OTP Pride Enamel Pin Series Vol. 2,Art,Jun 14 2020,Jul 9 2020,25,"Palo Alto, CA",$,23355,600,425
12,Felix the Fox Enamel Pin Project,Art,May 29 2020,Jul 12 2020,44,"Exmouth, UK",£,1457,680,52
13,The Mermaid: A Mermay Collection,Illustration,Jun 12 2020,Jul 12 2020,30,"Thame, UK",£,956,200,47
14,John Avon's Playmat Extravaganza,Illustration,Sep 20 2019,Nov 17 2019,58,"Brighton and Hove City, UK",£,185991,15000,2725
15,Magical Cross-over ita bag!,Art,Apr 28 2020,Jun 27 2020,60,"Singapore, Singapore",S$,21648,7000,197
16,Tamako - The Friend-shaped Egg Cat Keychain Plush,Textiles,Jun 19 2020,Jul 10 2020,21,"Kitchener, Canada",CA$,4791,2000,143
17,Flowery Enamel Pins for Avatar: The Last Airbender,Art,Jun 19 2020,Jul 13 2020,24,"Monroe, MI",$,622,300,18
18,Critters from Beyond Enamel Pins ~Artlluminate~,Art,May 27 2020,Jul 11 2020,45,"Seattle, WA",$,1091,450,47
19,A Caffeinated Art Book,Mixed Media,Jun 12 2020,Jul 12 2020,30,"Austin, TX",$,3262,1000,64
20,Leather Chop Cup By TCC PRESENTS,Performance Art,Apr 15 2020,May 6 2020,21,"Hong Kong, Hong Kong",HK$,363427,30000,504
21,Rustic Roots Lenormand,Illustration,Jun 17 2020,Jul 9 2020,21,"Millbrook, Canada",CA$,8895,2000,163
22,Flo's Flower Creations,Mixed Media,Jun 16 2020,Jul 14 2020,27,"Richardson, TX",$,611,500,16
23,AC Dreamie Enamel Pins,Illustration,Jun 9 2020,Jun 23 2020,14,"Hong Kong, Hong Kong",HK$,18018,2500,86
24,Into the Wild Enamel Pins,Illustration,May 15 2020,Jun 9 2020,25,"Costa Mesa, CA",$,2776,300,84
25,PORTENTS illustrated jewellery,Illustration,Feb 25 2020,Apr 7 2020,35,"Cambridge, UK",£,1435,800,43
26,Hobbit inspired pins,Illustration,May 12 2020,Jun 11 2020,30,"West Worthing, UK",£,823,350,52
27,"A-Z Memories of a Magical Childhood in Mill Valley, CA",Illustration,May 17 2020,Jun 16 2020,30,"Petaluma, CA",$,3741,3500,53
28,Toebeans : Hard Enamel Pins,Illustration,Mar 22 2020,Apr 21 2020,30,"Suffolk, UK",£,277,250,21
29,Sexy Koimaid Hard Enamel Pin,Digital Art,May 11 2020,May 31 2020,20,"Evansville, IN",$,2008,500,51
30,The Food Healing Oracle Deck™,Mixed Media,Feb 21 2020,Mar 22 2020,30,"Bokeelia, FL",$,14741,12222,142
31,Horrible Ugly Monsters Trading Cards THE SET & WAX BOXES,Illustration,May 25 2020,Jun 24 2020,30,"Tallahassee, FL",$,5479,666,85
32,Dragon Cuisine,Art,Jan 29 2020,Feb 28 2020,30,"Weybridge, UK",£,2671,250,106
33,Garden Grumps: Cute Peach and Pineapple Crab Plush Toys,Art,Mar 3 2020,Apr 9 2020,37,"Sacramento, CA",$,10447,7500,260
34,Pokemon Eeveelution Magic Wand Enamel Pins,Illustration,Apr 30 2020,May 20 2020,20,"Macomb, MI",$,1692,550,41
35,Pride Dragons & Animal Designs Dapper & Steampunk figures!,Sculpture,Jun 4 2020,Jun 30 2020,26,"Colorado Springs, CO",$,370,100,13
36,Magical Girl Floral Familiar Enamel Pin Set,Digital Art,Mar 29 2020,Apr 28 2020,30,"Los Angeles, CA",$,2066,300,80
37,Tarotwave: An Aesthetic Tarot Deck - Second Printing!,Digital Art,Mar 1 2020,Apr 30 2020,60,"Orlando, FL",$,15666,3500,315
38,Fuzzballs Vs Video Games - Cats and Bunnies Geek Enamel Pins,Illustration,Jun 5 2020,Jul 2 2020,27,"London, UK",£,2383,600,95
39,Cardcaptor Sakura Acrylic Charms,Illustration,Jun 2 2020,Jun 16 2020,14,"Tokyo, Japan",HK$,4335,1750,23
40,Beastie Babies - Enamel Pins,Art,Jan 31 2020,Mar 1 2020,30,"Sydney, AU",AU$,5604,900,137
41,CLAMP Collection: Hard Enamel Pins,Illustration,Apr 30 2020,May 30 2020,30,"Irmo, Columbia, SC",$,8000,600,167
42,Hogw_arts_shop Enamel Pins - We Can Do It Collection,Illustration,May 16 2020,Jun 15 2020,30,"France, France",€,1748,350,60
43,Quarantine Feline,Illustration,May 23 2020,Jun 22 2020,30,"Toronto, Canada",CA$,917,450,34
44,SUCKADELIC Stoopid Stickers by The Super Sucklord - NSFW,Art,Jun 17 2020,Jul 10 2020,23,"New York, NY",$,2003,299,53
45,Memento Mori ❀☠❀ Floral Animal Skull Enamel Pins,Art,Mar 4 2020,Mar 30 2020,25,"Houston, TX",$,1408,500,38
46,Bad Girl Oracle Deck,Illustration,Jun 9 2020,Jul 9 2020,30,"Brooklyn, NY",$,18596,8000,293
47,Foodie Buddy Kawaii Enamel Pin,Illustration,Feb 20 2019,Mar 6 2019,13,"Sacramento, CA",$,4527,300,166
48,Evolution Buddies: Eeveelution Enamel Pins,Art,Mar 3 2020,Apr 2 2020,30,"Redding, CA",$,2485,1500,92
49,Make 100 Handpainted Bumblebees 🐝,Art,Jan 1 2020,Feb 10 2020,40,"Kaisersesch, Germany",€,4695,150,163
50,Lactose Intolerant in Denial: An Enamel Pin for the Stubborn,Art,May 8 2020,May 22 2020,14,"New Haven, CT",$,967,400,45
51,"Kawaii Magical Mews, Vol 2",Illustration,Jun 7 2020,Jun 28 2020,21,"Vallejo, CA",$,474,300,18
52,HELLO I AM A... Enamel pins *PART 1*,Digital Art,Apr 3 2020,Apr 30 2020,27,"Manchester, UK",£,3969,290,189
53,Waterfall Tarot,Painting,May 25 2020,Jun 24 2020,30,"Austin, TX",$,6168,3000,112
54,The Art of Mark May Sketchbook 2018 through 2020,Illustration,Jun 1 2020,Jun 30 2020,28,"Westminster, CO",$,1138,500,24
55,Harry Potter Ugly Sweater Enamel Pins,Illustration,May 23 2020,Jun 22 2020,30,"Lexington, KY",$,1700,1600,73
56,Jim Henson's Labyrinth & The Dark Crystal Collectible Models,Sculpture,Apr 24 2020,May 24 2020,30,"Middlesbrough, UK",£,119162,10000,1078
57,Chronic Warrior Enamel Pins,Illustration,Jun 27 2019,Jul 26 2019,29,"Cambridge, UK",£,1514,400,84
58,Superheroes of the world (charitable project),Social Practice,Jul 2 2020,Jul 12 2020,10,"Mexico City, Mexico",MX$,8126,5000,5
59,Pretty Mahou Shojou Project,Digital Art,Feb 12 2020,Mar 3 2020,20,"Los Angeles, CA",$,7584,400,152
60,Thirsty Summer Vibes: Cute Drink Gold Enamel Pins (Kawaii),Illustration,Jun 19 2020,Jul 10 2020,21,"Toronto, Canada",CA$,1816,225,41
61,My Hero Academia Enamel Pins,Illustration,Jan 28 2020,Feb 27 2020,30,"Sydney, AU",AU$,1692,400,38
62,MCU enamel pin series Third Collection,Art,Feb 14 2020,Mar 5 2020,20,"Singapore, Singapore",S$,2369,1500,49
63,GOTHICUM: A Colouring Book for the Strange and Unusual,Illustration,May 17 2020,Jun 6 2020,20,"Calgary, Canada",CA$,3340,1500,72
64,Changing the Narrative,Video Art,May 9 2020,Jul 8 2020,60,"Kumasi, Ghana",$,26508,25000,135
65,Pastel Witch Hat Enamel Pin,Conceptual Art,May 5 2020,Jun 4 2020,30,"Cincinnati, OH",$,600,500,26
66,Pride Cat Enamel Pins,Illustration,May 11 2020,Jun 1 2020,21,"Toronto, Canada",CA$,1994,665,73
67,Endangered Series 2 Pins by Peppermint Narwhal,Illustration,May 23 2020,Jun 7 2020,15,"Wadsworth, OH",$,4808,1800,111
68,Guweiz: The Art of Gu Zheng Wei,Illustration,Jan 31 2020,Mar 1 2020,30,"Worcester, UK",£,311608,20000,5590
69,Make 100 Abstract Paintings,Art,Jan 17 2020,Mar 2 2020,45,"Boston, MA",$,1202,1000,32
70,Inkromancy - Tattoo tarot deck!,Illustration,Jan 15 2020,Feb 14 2020,30,"Minneapolis, MN",$,13982,8000,217
71,Home Base: A Documentary Tarot Project,Art,May 20 2020,Jul 9 2020,49,"Durham, NC",$,6472,6300,100
72,Good Omens Enamel Pins,Illustration,Jan 31 2020,Mar 6 2020,35,"Paris, France",€,1177,215,45
73,Bestiary Larry's Cute Collectible Creatures.,Art,Oct 16 2019,Nov 15 2019,30,"Portland, OR",$,4877,4800,84
74,AC Postage Stamps ♡ Hard Enamel Pins,Illustration,Mar 17 2020,Apr 14 2020,28,"Sacramento, CA",$,3019,250,106
75,The Art of Sketch Cards (art cards undercover),Illustration,Jun 8 2020,Jul 8 2020,30,"Quebec, Canada",CA$,14575,4900,120
76,Gothmancy: Divination and Darkness & The Alcheringa Deck.,Illustration,Mar 20 2020,May 19 2020,60,"Santa Fe, NM",$,19545,9333,339
77,ENTER THE GARF ZONE: Garfield Enamel Pins,Illustration,May 27 2020,Jun 26 2020,30,"Boston, MA",$,1075,300,60
78,Mini-ketes!,Textiles,May 29 2020,Jul 8 2020,40,"Toronto, Canada",CA$,13363,6000,98
79,Ancestral Journeys,Mixed Media,Oct 28 2018,Dec 1 2018,33,"San Francisco, CA",$,15573,9580,196
80,Animal Crossing Lucky Cats - Hard Enamel Pins,Art,Jun 10 2020,Jul 10 2020,30,"Atlanta, GA",$,872,350,42
81,We the People: public art for the inauguration and beyond,Social Practice,Jan 10 2017,Jan 18 2017,8,"Seattle, WA",$,1365105,60000,22840
82,TIKI MUG: The Lost Tikis of Toro Toa - MUG #1,Ceramics,Jun 9 2020,Jul 9 2020,29,"Bridgton, ME",$,8054,500,169
83,Once Upon An Animation ~ An Enamel Pin Collection,Illustration,Jan 28 2020,Feb 18 2020,21,"Glasgow, UK",£,12931,600,415
84,Divine Passerine - Vibrant Bird Enamel Pins,Art,Jun 22 2020,Jul 8 2020,16,"Galway, Ireland",€,3108,350,112
85,Always In My Heart: Waifu Pins,Digital Art,Jun 20 2020,Jul 10 2020,20,"Evansville, IN",$,3612,1500,61
86,"Dirty Work vol. 4: 60 Page, Full Color Adult Artbook",Illustration,Feb 6 2019,Mar 8 2019,30,"Lake Charles, LA",$,1886,500,37
87,Sweet Sweet Pride: LGBT Enamel Pin Collection,Art,Jun 12 2020,Jul 3 2020,21,"Los Angeles, CA",CA$,13800,300,347
88,"Disney Birds, Enamel Pin Set",Illustration,Jun 9 2020,Jul 9 2020,30,"Cocoa, FL",$,2133,900,61
89,Cutie Cats Enamel Pins,Art,Apr 18 2020,May 2 2020,13,"Washington, DC",$,6030,400,178
90,Rainbow Gummies Candy Enamel Pin,Illustration,Jun 11 2020,Jul 9 2020,28,"Singapore, Singapore",S$,3855,300,96
91,Magical Girl Foil Tarot Cards and Enamel Pins,Art,May 1 2020,May 21 2020,20,"Toronto, Canada",CA$,84495,5000,915
92,AbsorbALL,Public Art,Jul 28 2019,Sep 26 2019,60,"Fort Wayne, IN",$,6033,6000,51
93,Bi Pride Pigeon Enamel Pin,Art,May 20 2020,Jun 19 2020,30,"London, UK",£,850,350,65
94,The Hidden Hand Society Divination Oracle Deck,Illustration,May 26 2020,Jun 9 2020,14,"Savannah, GA",$,4522,732,147
95,Kemonomimi Hard Enamel Pins,Art,Jan 6 2020,Feb 3 2020,28,"Grangemouth, UK",£,1762,350,101
96,2019 - Artist Journey of Rachta Lin,Illustration,Dec 18 2019,Jan 5 2020,18,"Singapore, Singapore",S$,16059,3000,122
97,Ninja Crossing Pin Set,Art,May 13 2020,May 31 2020,18,"Payson, UT",$,2543,1000,75
98,Founder Major Arcana Tarot,Illustration,May 20 2020,Jun 19 2020,30,"London, UK",£,3072,3000,34
99,The Ark Animal Tarot & Oracle Deck,Illustration,Mar 20 2019,Apr 19 2019,30,"Gainesville, FL",$,41632,25000,544
100,Whimsical Washi Tape Collection by Ellis Woolley,Illustration,Jun 15 2020,Jul 9 2020,24,"Leicestershire, UK",£,2098,115,127
101,Persona 5 Tarot Inspired Acrylic Charm Series,Art,Feb 19 2020,Mar 31 2020,41,"Columbus, OH",$,888,235,30
102,THE RELATIVE TAROT,Mixed Media,May 8 2019,Jun 15 2019,37,"Arcata, CA",$,27254,17000,314
103,Anime Inspired Pin Collection,Mixed Media,Jun 6 2020,Jun 18 2020,12,"Houston, TX",$,3810,1400,120
104,Oracle Animal Cards Enamel Pins,Illustration,Jan 4 2020,Feb 3 2020,30,"Kissimmee, FL",$,542,500,19
105,Retro Cuties Enamel Pins!,Illustration,May 22 2020,Jun 19 2020,27,"San Diego, CA",$,17328,400,417
106,Rekindle: Make 100 thoughts,Illustration,Jan 25 2020,Feb 24 2020,30,"Singapore, Singapore",S$,708,100,35
107,Johnny's Fantastical Scratchings Adult Coloring Book,Art,Aug 8 2019,Sep 7 2019,30,"Lake Charles, LA",$,1144,600,24
108,The Oriens Tarot Deck,Illustration,Aug 30 2019,Sep 30 2019,31,"Melbourne, AU",AU$,124498,15400,1792
109,⛧ THE SABBATH TAROT ⛧,Art,Aug 29 2019,Sep 30 2019,31,"Chicago, IL",$,41749,25000,520
110,JRPG Cuties Part I: Ladies of Light! Hard Enamel Pins,Art,May 15 2020,May 31 2020,16,"North Bay, Canada",CA$,7736,350,156
111,Nightmares Colouring Book,Illustration,May 10 2020,Jul 9 2020,59,"Manchester, UK",£,1078,1000,53
112,Snack Pack : Hard enamel pins,Art,Mar 22 2020,Apr 21 2020,30,"Toronto, Canada",CA$,654,500,32
113,My Hero Academia Enamel Pins 2,Art,Jun 10 2020,Jun 24 2020,14,"Sydney, AU",AU$,3386,500,66
114,Solaris Tarot,Illustration,Apr 21 2020,Jun 20 2020,60,"London, UK",£,99561,35000,1178
115,Bewitched Bonbons,Illustration,Apr 17 2020,May 1 2020,14,"Crewe, UK",£,2198,300,109
116,Sisyphus – The Kinetic Art Table,Sculpture,Sep 24 2016,Oct 24 2016,30,"Minneapolis, MN",$,1924018,50000,1992
117,Lonesome Pictopia: Exquisite Wallpaper,Textiles,Feb 19 2020,Mar 28 2020,37,"Portland, OR",$,35817,35000,276
118,BIG CANAL,Painting,Nov 17 2014,Dec 8 2014,21,"Brooklyn, NY",$,49514,4500,1202
119,Nic: The origami picnic companion,Textiles,May 12 2015,Jun 11 2015,30,"Berlin, Germany",€,14055,14000,80
120,Painting Australian Flora and Fauna,Mixed Media,Jan 5 2020,Feb 4 2020,30,"Melbourne, AU",AU$,8528,300,97
121,Japanese Bakery Enamel Pins,Art,Jan 3 2020,Jan 27 2020,30,"Toronto, Canada",CA$,455,385,17
122,The Dumbest Thing in Your Mailbox - Part 9,Art,Feb 28 2020,Mar 5 2020,6,"Buffalo, NY",$,161,1,20
123,"Descants & Cadences, an Art Book by Stephanie Law",Illustration,Apr 14 2016,May 12 2016,28,"Oakland, CA",$,116553,26400,998
124,Sea Creature Plush Keychain Manufacturing,Textiles,May 30 2020,Jun 17 2020,18,"Greensboro, NC",$,2430,600,85
125,Magical Wardrobe: Mahou Shoujo Enamel Pins,Art,May 25 2020,Jun 24 2020,30,"Cardiff, UK",£,11887,300,445
126,Watermelon Collection: Enamel Pin - Stickers & More!,Digital Art,Nov 20 2019,Nov 27 2019,7,"London, UK",£,358,150,19
127,The Sculptor's Delerium: an homage to H.P. Lovecraft,Sculpture,May 8 2020,Jun 7 2020,30,"Loveland, CO",$,5170,1000,77
128,by the thrøat: a blurryface zine.,Illustration,Jan 24 2020,Mar 22 2020,57,"Boston, MA",$,745,600,33
129,Everything Will Be All Right - A Fantasy Coloring Book,Illustration,Sep 14 2017,Oct 15 2017,30,"San Jose, CA",$,873,500,29
130,The Fox Universe Tarot: A Self Care Oracle,Digital Art,Nov 20 2018,Jan 1 2019,41,"Gabriola, Canada",CA$,7366,6500,102
131,Sailor Scout Enamel Pins,Textiles,Sep 7 2018,Oct 7 2018,30,"South Elgin, IL",$,1000,1000,27
132,Everything Will Be All Right - A Fantasy Coloring Book,Illustration,Sep 14 2017,Oct 15 2017,30,"San Jose, CA",$,873,500,29
133,Bricks of the MOUSE GUARD Returns!,Art,Feb 11 2020,Mar 12 2020,30,"Los Angeles, CA",$,26660,7500,225
134,The Sculptor's Delerium: an homage to H.P. Lovecraft,Sculpture,May 8 2020,Jun 7 2020,30,"Loveland, CO",$,5170,1000,77
135,Sailor Scout Enamel Pins,Textiles,Sep 7 2018,Oct 7 2018,30,"South Elgin, IL",$,1000,1000,27
136,The Witches' Insurrection Tarot,Illustration,Mar 18 2019,Apr 27 2019,40,"Chicago, IL",$,19423,1700,387
137,Little Witch Enamel Pin,Art,Apr 30 2020,May 30 2020,30,"Atlantic City, NJ",$,500,500,17
138,The Id of the Grid,Public Art,Oct 11 2011,Nov 1 2011,21,"Berlin, Germany",$,6049,5000,105
139,Enchanted Forest Colouring Book,Illustration,Jun 8 2020,Jul 8 2020,30,"Manchester, UK",£,3834,500,133
140,TIME: Journal No. 1 from Sterling Hundley,Illustration,Nov 29 2018,Jan 4 2019,35,"Richmond, VA",$,17712,14250,329
141,BL Cuties - Hard Enamel Pins,Art,Jun 1 2020,Jun 25 2020,24,"Tacoma, WA",$,4589,600,86
142,Bamboo Cats: Cats drawn using bamboo dipped in Indian ink,Art,Jun 16 2020,Jun 30 2020,14,"London, UK",£,229,200,12
143,Becoming Visionary mini: a prototype handmade I Ching deck,Illustration,Oct 31 2014,Nov 30 2014,30,"Eskdalemuir, UK",£,1029,1000,27
144,The Runic Odyssey Oracle Deck,Illustration,Mar 1 2020,Mar 31 2020,30,"Aix-les-Bains, France",€,16571,5000,332
145,TIME: Journal No. 1 from Sterling Hundley,Illustration,Nov 29 2018,Jan 4 2019,35,"Richmond, VA",$,17712,14250,329
146,GameBoy Color Enamel Pins,Illustration,Jan 6 2020,Feb 5 2020,30,"Milton Keynes, UK",£,1086,350,87
147,Philosophy Cards: The Existential Tarot Deck,Art,Dec 8 2019,Jan 7 2020,30,"Los Angeles, CA",$,17175,15000,230
148,Mystic Nature Pin Collection,Art,Dec 1 2019,Dec 31 2019,30,"Berlin, Germany",€,1725,1200,56
149,Cosmic Cycles Tarot,Illustration,Jun 20 2019,Aug 19 2019,60,"Largo, FL",$,36046,1600,541
150,Enchanted Forest Colouring Book,Illustration,Jun 8 2020,Jul 8 2020,30,"Manchester, UK",£,3834,500,133
151,BL Cuties - Hard Enamel Pins,Art,Jun 1 2020,Jun 25 2020,24,"Tacoma, WA",$,4589,600,86
152,Bamboo Cats: Cats drawn using bamboo dipped in Indian ink,Art,Jun 16 2020,Jun 30 2020,14,"London, UK",£,229,200,12
153,Collectif Sirene,Art,Apr 30 2020,May 31 2020,31,"Middletown, OH",$,6854,750,161
154,"E3 Modern Gallery • Art, Furniture, Hi-Fi Vacuum Tube Audio",Public Art,Mar 18 2013,Apr 17 2013,30,"Salt Lake City, UT",$,5353,5000,47
155,Marble Moon Tarot,Illustration,Jul 2 2019,Aug 1 2019,30,"Mount Holly, NJ",$,8195,5500,127
156,Astrosoul Oracle Deck,Illustration,Oct 24 2019,Nov 23 2019,30,"London, UK",£,12708,7500,238
157,The Blood Moon Tarot,Illustration,May 22 2018,Jun 22 2018,31,"Peterborough, NH",$,61594,12000,991
158,Misha's Cute & Creepy Tarot Deck,Digital Art,Oct 3 2018,Nov 2 2018,30,"Los Angeles, CA",$,11893,6000,183
159,Tasty Buns stickers,Illustration,Sep 18 2018,Oct 18 2018,30,"Menlo Park, CA",$,411,270,34
160,Cute Animal Crossing enamel pins,Art,May 25 2020,Jun 24 2020,30,"Duisburg, Germany",€,1932,500,99
161,A PRESSing Opportunity,Art,Aug 5 2018,Sep 4 2018,30,"Champaign, IL",$,9599,8700,130
162,Demon Slayer: Kimetsu no Boba Enamel Pins Series,Art,Jan 25 2020,Feb 4 2020,10,"Toronto, Canada",CA$,4282,1000,75
163,"Avatar/Korra 2.5"" Acrylic Charms",Art,Apr 4 2020,May 4 2020,30,"Kissimmee, FL",$,1253,300,40
164,The Star Seeker Tarot,Digital Art,Nov 22 2019,Dec 22 2019,30,"San Francisco, CA",$,23747,8444,397
165,Marble Moon Tarot,Illustration,Jul 2 2019,Aug 1 2019,30,"Mount Holly, NJ",$,8195,5500,127
166,"""Materia Prima: An Expression of Matter"" Tarot",Illustration,Aug 21 2019,Sep 8 2019,18,"Marquette, MI",$,120767,30000,1568
167,Electric Abyss: The Art of Heidi Black,Art,Nov 17 2012,Dec 17 2012,30,"Savannah, GA",$,3638,2000,137
168,The AP-2K Project,Sculpture,Apr 11 2020,May 11 2020,30,"Singapore, Singapore",S$,42355,39648,116
169,Pastel Sky Capsule Enamel Pins,Art,Sep 24 2018,Oct 24 2018,30,"Singapore, Singapore",S$,2026,750,64
170,Projet Kimono ＠La Manufacture de Roubaix フランス ルーベー着物再生プロジェクト,Textiles,Jan 3 2019,Jan 28 2019,25,"Roubaix, France",¥,219869,200000,28
171,Artemis 2.0,Sculpture,Jun 2 2019,Jul 2 2019,30,"Derbyshire, UK",£,19871,5000,277
172,Cinnasnail Plush,Art,Sep 20 2019,Oct 17 2019,27,"St. Augustine, FL",$,3596,3050,78
173,"🖍️ The ""Tiny Art to Go - Vending Machine"" 📺",Painting,Jun 16 2020,Jul 9 2020,23,"Gemeinde Kaisersesch, Germany",€,746,500,27
174,"Color Me-ow, Volume Two",Illustration,Jun 8 2020,Jul 8 2020,30,"Columbus, OH",$,987,900,49
175,Bondage 10 Piece Art Set,Installations,Mar 3 2017,Mar 18 2017,15,"Lake Charles, LA",$,893,400,7
176,Sealife Pride Hard Enamel Pins,Illustration,May 9 2020,Jun 7 2020,29,"Liverpool, UK",£,6606,350,218
177,Dodges And Daisies Stationery Line,Illustration,Jan 20 2020,Mar 1 2020,41,"Greenville, SC",$,3062,3000,59
178,"""pentimento"" artbook Pierangelo Boog - ink drawing sketch",Illustration,Sep 13 2018,Oct 1 2018,18,"Zurich, Switzerland",CHF,8251,1500,87
179,NiMochi's Collection 2020,Art,May 26 2020,Jun 10 2020,15,"Jacksonville, FL",$,2953,500,111
180,Artemis 2.0,Sculpture,Jun 2 2019,Jul 2 2019,30,"Derbyshire, UK",£,19871,5000,277
181,Dodges And Daisies Stationery Line,Illustration,Jan 20 2020,Mar 1 2020,41,"Greenville, SC",$,3062,3000,59
182,The Little ABC Book of Horror,Illustration,Apr 8 2016,Apr 29 2016,20,"London, UK",£,2308,600,101
183,NIMA,Digital Art,Jun 27 2017,Jul 29 2017,32,"Los Angeles, CA",$,167832,25000,2829
184,Anime Collar Enamel Pins,Art,Jun 12 2020,Jun 27 2020,14,"Seattle, WA",$,9916,400,195
185,Book Bunny Hard Enamel Pin Quickstarter,Art,Jun 5 2020,Jun 10 2020,5,"Nashville, TN",$,3379,800,130
186,★ Kawaii Gacha Creatures Enamel Pin Collection ★,Art,Mar 13 2020,Apr 1 2020,18,"Faro, Portugal",€,3960,450,141
187,"Oak, Ash & Thorn",Illustration,Apr 4 2020,May 4 2020,30,"West Yorkshire, UK",£,96558,28000,2152
188,100% HUMAN/Unique Screenprints,Art,Mar 11 2020,May 10 2020,60,"Chicago, IL",$,2751,2500,59
189,Sweetie Witch Enamel Pins,Art,Jun 15 2020,Jul 7 2020,22,"Buffalo, NY",$,1636,400,58
190,Pride Pins,Illustration,Jun 1 2019,Jul 1 2019,30,"Chicago, IL",$,249610,1500,5304
191,Waifu Laifu : Enamel Pin Series,Art,May 4 2020,May 19 2020,15,"Rincon, GA",$,840,350,41
192,Starry Beginnings Oracle Card Deck,Art,May 25 2020,Jul 5 2020,41,"Sydney, AU",AU$,10691,9000,157
193,The Telluric Tarot,Art,Sep 30 2019,Oct 30 2019,30,"Ottawa, Canada",CA$,34793,8500,451
194,Gods Pins,Art,Mar 27 2020,Apr 26 2020,30,"Longmont, CO",$,27910,700,471
195,Be that Magical Rainbow! Enamel Pin Badge Collection,Illustration,Feb 28 2020,Apr 28 2020,60,"St. Neots, UK",£,875,495,54
196,DR PASTEL Enamel Pins,Art,Jun 16 2020,Jul 1 2020,15,"Barcelona, Spain",€,11996,600,275
197,Reshiram & Zekrom - Yin and Yang interlocking enamel pins,Art,May 15 2020,Jun 14 2020,30,"Columbia, SC",$,910,600,34
198,Art of Gary Morgan,Illustration,May 29 2020,Jun 28 2020,30,"Pittsburgh, PA",$,4122,1425,68
199,Vlad's Undead Angels Sexy Zombie and Vamp T-Shirts,Illustration,Aug 29 2013,Sep 29 2013,31,"Keansburg, NJ",$,375,250,7
200,sitespecific Kingston,Public Art,May 7 2013,Jun 6 2013,30,"Kingston upon Thames, UK",£,2005,2000,34
201,The ShamanCycle - a Giant 10-Person Eagle Bicycle,Sculpture,May 6 2013,Jun 21 2013,45,"New York, NY",$,12527,9847,120
202,BOWER /// A Participatory Design Installation,Mixed Media,May 6 2013,Jun 5 2013,30,"Wassaic, NY",$,2213,2200,75
203,Manoa Otaku Experience (M.O.E.),Mixed Media,Sep 4 2013,Oct 19 2013,45,"Manoa, Honolulu, HI",$,2085,2000,25
204,Transforming Life,Mixed Media,May 29 2013,Jun 8 2013,9,"Dana Point, CA",$,1050,1000,19
205,The Art Of Healing Exhibition,Digital Art,May 29 2013,Jun 28 2013,30,"Columbia, SC",$,4500,4500,37
206,Body Gossip's #BodyLove Flashmob,Performance Art,Jun 19 2013,Jun 29 2013,9,"London, UK",£,1137,1000,36
207,NO HOTEL,Art,Jun 10 2013,Aug 1 2013,52,"New York, NY",$,2085,2000,43
208,PHOTOCHAPEL by Mike Garlington & Crew,Public Art,Jun 28 2013,Jul 16 2013,18,"Petaluma, CA",$,6348,4500,87
209,The Amazing Comic Con Art Project,Art,Feb 24 2014,Mar 31 2014,35,"Glasgow, UK",£,937,350,18
210,EverCross Postcard Set,Illustration,Dec 4 2013,Feb 1 2014,58,"Grove City, PA",$,1062,1000,52
211,Intensive Clay Experience for a Military Boarding School,Art,Mar 12 2014,Apr 11 2014,30,"Greensboro, NC",$,3000,3000,20
212,Brooklyn Utopias: In TRANSITion,Art,Aug 21 2013,Sep 17 2013,27,"Brooklyn, NY",$,2251,2000,46
213,Grand Opening of Pappy Jack's Place,Performance Art,Sep 20 2013,Oct 20 2013,30,"Phillipsburg, PA",$,2721,2000,53
214,"Bubble plates, puppy weights, and custom shapes",Art,Sep 3 2013,Oct 10 2013,37,"Clemmons, NC",$,13140,10000,110
215,Ninja Turtle - Sticker (and sketch card),Public Art,Sep 4 2013,Sep 19 2013,14,"Tulsa, OK",$,196,135,16
